Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,Location,Origin,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,Total Affected,Insured Damages ('000 US$),Total Damages ('000 US$)
,Natural,Climatological,Drought,Drought,,Bengal,,,Km2,,,,1900,,,1900,,,1250000,,,,,
,Natural,Geophysical,Earthquake,Ground movement,,Kangra,,8,Richter,32.04,76.16,06:20,1905,4,4,1905,4,4,20000,,,,,25000
,Natural,Biological,Epidemic,Bacterial disease,Bubonic,,,,Vaccinated,,,,1907,,,1907,,,1300000,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,"Cuddalore, Pondicherry",,,Kph,,,,1916,11,21,1916,11,21,300,,,,,
,Natural,Biological,Epidemic,Bacterial disease,Bubonic,,,,Vaccinated,,,,1920,,,1920,,,2000000,,,,,
,Natural,Biological,Epidemic,Bacterial disease,Cholera,,,,Vaccinated,,,,1920,,,1920,,,500000,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,Punjab province,,,Kph,,,,1924,9,23,1924,9,23,1242,,1000000,1000000,,
,Natural,Biological,Epidemic,Bacterial disease,Cholera,,,,Vaccinated,,,,1924,,,1924,,,300000,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,"Bezwada, Masulipatam",,,Kph,,,,1925,5,10,1925,5,10,80,,,,,
,Natural,Hydrological,Flood,Riverine flood,,Bengal,,,Km2,,,,1926,7,19,1926,7,19,,,,,,
,Natural,Biological,Epidemic,Viral disease,,,,,Vaccinated,,,,1926,,,1926,,,423000,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,"Gujarat, Ahmedabad, Baroda",,,Kph,,,,1927,7,23,1927,7,23,56,10,40000,40010,,
,Natural,Meteorological,Storm,Tropical cyclone,,Nellore,,,Kph,,,,1927,11,1,1927,11,1,629,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,,,,Kph,,,,1935,,,1935,,,60000,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,Guntur (Madras),,,Kph,,,,1936,10,28,1936,10,28,233,,,,,
,Natural,Climatological,Drought,Drought,,"Calcutta, Bengal region",,,Km2,,,,1942,,,1942,,,1500000,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,"Orissa, West Bengal",,,Kph,,,,1942,10,14,1942,10,14,40000,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,Rajputana,,,Kph,,,,1943,7,24,1943,7,24,5000,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,Assam,,,Kph,,,,1944,6,14,1944,6,14,304,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,"Gujarat, Punjab",,,Kph,,,,1945,9,18,1945,9,18,,,,2000,,
,Natural,Hydrological,Landslide,Landslide,,Assam,,,,,,,1948,9,18,1948,9,18,500,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,"East & West Godavari districts, Masulipatnam",,,Kph,,,,1949,10,27,1949,10,27,1000,,,,,
,Natural,Geophysical,Earthquake,Ground movement,,Assam province,,9,Richter,28.5,96.5,19:39,1950,8,15,1950,8,15,1500,,,,,20000
,Natural,Hydrological,Flood,Riverine flood,,Saurashtra,,,Km2,,,,1950,7,11,1950,7,11,45,,25000,25000,,
,Natural,Meteorological,Storm,Tropical cyclone,,"Tanjore, Tiruchi",,,Kph,,,,1952,11,26,1952,11,26,400,,1000000,1000000,,
,Natural,Meteorological,Extreme temperature ,Heat wave,,,,,Â°C,,,,1953,6,,1953,6,,400,,,,,
,Natural,Hydrological,Landslide,Landslide,,,,,,,,,1954,2,,1954,2,,30,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,Punjab,,,Kph,,,,1955,9,28,1955,9,28,1500,,,375000,,
,Natural,Meteorological,Storm,Tropical cyclone,,Tanjore,,,Kph,,,,1955,11,28,1955,11,28,500,,,,,
,Natural,Geophysical,Earthquake,Ground movement,,"Anjar, Bhuj, Gandhidham, Kandla",,6,Richter,23,70,21:02,1956,7,21,1956,7,21,113,219,,219,,
,Natural,Hydrological,Landslide,Landslide,,,,,,,,,1956,10,,1956,10,,27,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,"Parganas, Midnapore (West Bengal)",,,Kph,,,,1956,5,29,1956,5,29,,,1000000,1000000,,
,Natural,Hydrological,Landslide,Landslide,,,,,,,,,1958,6,,1958,6,,52,,,,,
,Natural,Meteorological,Extreme temperature ,Heat wave,,,,,Â°C,,,,1958,5,,1958,5,,651,,,,,
,Natural,Meteorological,Extreme temperature ,Cold wave,,,,,Â°C,,,,1961,12,,1961,12,,400,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,,,,Kph,,,,1963,4,,1963,4,,112,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,Rameswaram,,,Kph,,,,1964,12,17,1964,12,17,500,,,,,
,Natural,Meteorological,Extreme temperature ,Heat wave,,,,,Â°C,,,,1965,6,,1965,6,,100,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,Madras state,,,Kph,,,,1966,11,3,1966,11,3,18,,150000,150000,,4200
,Natural,Geophysical,Earthquake,Ground movement,,"Maharashtra, Koynana",,7,Richter,17.412,73.885,04:21,1967,12,11,1967,12,11,177,2272,50000,52272,,400
,Natural,Meteorological,Storm,Tropical cyclone,,Orissa,,,Kph,,,,1967,10,8,1967,10,8,1000,,,,,
,Natural,Biological,Epidemic,Viral disease,,,,,Vaccinated,,,,1967,1,1,1967,1,1,3029,,13576,13576,,
,Natural,Hydrological,Flood,Flash flood,,"(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",,,Km2,,,,1968,7,,1968,7,,4892,,7500000,7500000,,94200
,Natural,Hydrological,Landslide,Landslide,,"Bihar, Bengal",,,,,,,1968,10,1,1968,10,1,1000,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,"Ramanathapurum, Thanjavur",,,Kph,,,,1968,12,4,1968,12,4,7,,15000,15000,,
,Natural,Meteorological,Storm,Tropical cyclone,,"Guntur, Krishna, Godavari (Andhra Pradesh)",,,Kph,,,,1969,5,17,1969,5,17,600,,260000,260000,,8330
,Natural,Meteorological,Storm,Tropical cyclone,,Andhra Pradesh,,,Kph,,,,1969,11,4,1969,11,4,200,,,,,
,Natural,Geophysical,Earthquake,Ground movement,,Broach,,5,Richter,21.7,73,07:22,1970,3,23,1970,3,23,26,200,,200,,
,Natural,Meteorological,Storm,Tropical cyclone,,"East coast, Orissa state",,,Kph,,,,1971,10,27,1971,10,27,9658,,4900000,6900000,,30000
